Temperature Dependence Data (N=4)
T	Complete	Chain	Cycle
--------------------------------------------------
0.1	4.000000e+00	4.000000e+00	4.000000e+00
0.2	4.000000e+00	4.000000e+00	4.000000e+00
0.3	4.000000e+00	4.000000e+00	4.000000e+00
0.4	4.000000e+00	4.000000e+00	4.000000e+00
0.5	4.000000e+00	4.000000e+00	4.000000e+00
0.6	4.000000e+00	4.000000e+00	4.000000e+00
0.7	4.000000e+00	4.000000e+00	4.000000e+00
0.8	4.000000e+00	4.000000e+00	4.000000e+00
0.9	4.000000e+00	4.000000e+00	4.000000e+00
1.0	4.000000e+00	4.000000e+00	4.000000e+00
1.1	4.000000e+00	4.000000e+00	4.000000e+00
1.2	4.000000e+00	4.000000e+00	4.000000e+00
1.3	4.000000e+00	4.000000e+00	4.000000e+00
1.4	4.000000e+00	4.000000e+00	4.000000e+00
1.5	4.000000e+00	4.000000e+00	4.000000e+00
1.6	4.000000e+00	4.000000e+00	4.000000e+00
1.7	4.000000e+00	4.000000e+00	4.000000e+00
1.8	4.000000e+00	4.000000e+00	4.000000e+00
1.9	4.000000e+00	4.000000e+00	4.000000e+00
2.0	4.000000e+00	4.000000e+00	4.000000e+00
